公司全名,公司链接,公司简称,公司规模,融资阶段,区域,职位名称,学历要求,工作经验,薪资范围,职位福利,工作领域,工作类型,发布时间,是否全职,具体工作,地铁线路,工作要求,办公地点
北京启明合心科技有限公司,https://www.lagou.com/gongsi/18713.html,合心科技,50-150人,B轮,海淀区,Python开发工程师,本科,1-3年,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐","移动互联网,教育",[],2018-12-03 10:08:47,全职,后端开发,10号线_知春里;10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路,职位描述：后端工程师任职要求：1. 良好的沟通能力，团队合作精神，学习能力，有责任感，有实际后端产品的开发经验2. 熟悉掌握Web开发相关知识3. 熟悉Python语言，以及Django或类似Web框架4. 熟练使用 MySQL，掌握常用的基础语句，熟悉基本索引优化工作职责：1. 设计、开发、优化服务器后端2. 不断优化技术实现，提升自己和团队的工作、生活质量加分项：1. 熟悉Unix shell2. 有后端系统架构设计经验，兼顾性能、可扩展性3. 熟悉Redis的使用4. 熟悉和理解异步开发框架或模型5. 参加或主导过开源项目,工作地址北京 -                    海淀区                                            - 量子芯座                                                            查看地图
北京基调网络股份有限公司,https://www.lagou.com/gongsi/454120.html,听云,150-500人,上市公司,朝阳区,Python研发工程师,本科,3-5年,17k-24k,上市公司 带薪年假 地铁周边,移动互联网,[],2018-12-02 22:38:41,全职,后端开发,10号线_太阳宫;10号线_三元桥;机场线_三元桥,职位描述：岗位职责：1. 负责听云产品Server相关功能研发、改进、Bug修复及其他日常维护2. 编写单元测试用例，并配合测试部门编写及完善数据采集相关自动化测试用例岗位要求：1. 计算机相关专业，全日制大学本科及以上学历，英语读写良好。2. 熟知计算机原理，及编程相关知识。3. 3年及以上python经验，有经常阅读源代码更佳4. 熟练使用python经典特性，如生成器、闭包、装饰器等，以及monkey-pacth技术。5. 熟悉python WEB应用部署、开发技术 ，如django、tornado等。6. 理解HTTP协议、数据库等相关技术，具备良好的代码风格7. 善于思考，能独立分析和解决问题 8. 责任心强，具备良好的团队合作精神和承受压力的能力加分项：1. 熟练使用Java者优先2. 精通HTTP协议3. 精通python解释器原理，以及源代码等,工作地址北京 -                    朝阳区 -                    太阳宫                                            - 京顺路5号曙光大厦B座                                                            查看地图
爱笔（北京）智能科技有限公司,https://www.lagou.com/gongsi/320770.html,Aibee,50-150人,天使轮,海淀区,Python开发工程师,本科,3-5年,20k-40k,"初创公司,技术驱动","移动互联网,企业服务",[],2018-12-03 00:04:08,全职,后端开发,13号线_上地,职位描述：岗位职责后端基础架构和开发；提供高并发语音、图像、视频、自然语言处理和大数据分析请求的处理能力；海量数据存储平台搭建；任职要求具备python语言的项目开发经验；熟悉MySQL、Redis、Nginx、Flask框架；熟练使用Docker进行开发；了解elasticsearch、Prometheus；有一定的数据结构和算法基础。,工作地址北京 -                    海淀区 -                    西北旺                                            - 上地三街金隅嘉华大厦B座1201                                                            查看地图
中寰卫星导航通信有限公司,https://www.lagou.com/gongsi/10809.html,中寰卫星,500-2000人,不需要融资,海淀区,python开发工程师,本科,5-10年,15k-30k,六险一金；免费体检；节日福利；免费班车,移动互联网,[],2018-12-02 10:37:46,全职,后端开发,16号线_永丰;16号线_永丰南,职位描述：岗位职责：1、负责公司内部管理后台及商业化应用产品的开发；2、负责项目文档编写、配合测试人员进行软件测试，保证软件产品质量。任职资格：1、2年以上互联网行业Python开发经验；2、对Web后端技术架构和数据库有基本的理解; 对前端技术有一定了解;3、思维缜密、思路清晰，具备较好的逻辑分析能力；4、具备良好的沟通能力和口头、书面表达能力5、熟悉Linux/Unix环境， shell 命令；熟练使用GIT等代码管理工具;6、有大数据分析处理经验优先; 对Django框架熟悉者优先;7、有前端图表库使用经验者优先。,工作地址北京 -                    海淀区 -                    西北旺                                            - 丰豪东路四维图新大厦 C座6层                                                            查看地图
北京闪银奇异科技有限公司,https://www.lagou.com/gongsi/29496.html,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发工程师,本科,1-3年,18k-35k,"全五险一金,牛人多,发展快,福利好","移动互联网,金融","['大数据', '数据挖掘']",2018-11-30 14:39:24,全职,后端开发,,职位描述：岗位职责：1、参与基于大数据的分布式机器学习平台的设计与构建；2、紧跟业界前沿，针对不断增长的业务需求和算法多样性创新提供技术解决方案；3、对机器学习平台性能与可扩展性进行持续及深度优化；4、负责管理平台及后端应用的开发维护及不断优化。任职要求：1、计算机、数学、统计学或相关专业，本科及以上学历；2、熟练掌握Python编程语言，熟悉Django等主流Web框架；3、熟悉常见的机器学习算法，逻辑回归、SVM、决策树、贝叶斯以及各种深度学习网络包括CNN、RNN、 LSTM等；4、熟练使用scikit-learn、TensorFlow等主流深度学习框架；5、有Hadoop，MapReduce，Spark，Storm，HBase，Kafka等开发经验者优先。,工作地址北京 -                    朝阳区                                            - 农展馆南路13号瑞辰国际中心8层801室                                                            查看地图
北京高域海汇科技有限公司,https://www.lagou.com/gongsi/282633.html,高域海汇,50-150人,不需要融资,朝阳区,Python开发工程师,本科,1-3年,12k-20k,"核心业务,行业大牛,弹性作息,超多福利",移动互联网,['新零售'],2018-11-30 10:42:18,全职,后端开发,8号线_北土城;8号线_奥体中心;10号线_牡丹园;10号线_健德门;10号线_北土城,职位描述：工作职责：	•	负责大数据分析平台研发；	•	负责企业内部业务系统研发；职位要求：	•	计算机科学或相关专业毕业；	•	能熟练使用Python语言进行日常开发工作；	•	能熟练使用MySQL，具备优秀的数据库设计能力；	•	熟悉Web开发相关协议、工具和技术，熟悉至少一个web开发框架；	•	熟悉互联爬虫原理，能熟练使用Scrapy等开源爬虫框架的一种	•	具有较强的沟通能力，分析和解决问题的能力，具备良好的团队合作精神和服务意识。满足以下一个或多个条件者优先考虑：	•	有Elasticsearch使用经验	•	具备前端开发能力，包括html/css/javascript等技术；	•	有开源项目经验。,工作地址北京 -                    朝阳区                                            - 朝阳区祁家豁子8号健翔大厦5层512室                                                            查看地图
北京涵德投资管理有限公司,https://www.lagou.com/gongsi/309884.html,涵德投资,15-50人,未融资,海淀区,Python开发工程师,本科,不限,10k-15k,公司发展快,金融,['投资/融资'],2018-11-26 18:18:10,全职,后端开发,4号线大兴线_北京大学东门;13号线_五道口;15号线_清华东路西口,职位描述：【职位描述】1. 开发、维护、测试、优化金融量化分析系统2. 包括但不限于数据整理、数据分析、 数据展示等3. 为量化交易提供支持，包括数据整理、分析工具实现、风控等；4. 整理、分析量化交易系统的日志文件； 【职位要求】1. 熟悉Python，熟悉数据结构和算法， 了解Matlab优先2. 熟悉常用的Python数据分析相关库，如NumPy、SciPy、Pandas、Matplotlib 等3. 加分项：有基本的MySQL、Django/Flask、前端知识4. 动手能力强，优秀的学习能力，独立思考解决问题能力，工作积极主动，责任心强，具有出色的沟通能力和团队合作精神；5. 对量化行业有兴趣，有志于在量化投资领域长期发展，无需有金融相关背景和经验；6. 211/985本科及以上学历；理工科专业，计算机、自动化、软件工程、电子信息工程、通信工程等专业优先。,工作地址北京 -                    海淀区 -                    清华大学                                            - 中关村东路1号院清华科技园                                                            查看地图
颐邦（北京）医院管理有限公司,https://www.lagou.com/gongsi/452635.html,颐邦科技,少于15人,天使轮,海淀区,Python研发工程师,本科,1-3年,15k-25k,"团队优秀,技术强,薪酬高,福利好","医疗健康,硬件",[],2018-11-26 16:39:27,全职,后端开发,4号线大兴线_中关村;4号线大兴线_北京大学东门;4号线大兴线_圆明园;13号线_五道口,职位描述：工作职责：- 参与服务端业务开发，搭建具有高可靠性和高性能的系统；- 参与数据平台研发；- 参与服务端系统代码重构和服务器性能优化；任职要求：- 全日制本科及以上学历，985优先。- 熟练掌握一门以上主流程序设计语言（JAVA，Python，golang等），具备良好的编码技巧；- 熟练使用至少一种数据库（MySQL/PostgreSQL/Redis/MongoDB)；- 工作有激情，具备良好的责任心和团队合作精神；- 优秀应届生亦可，两年以上服务端开发方面工作经验优先；- 英文水平扎实，能流畅阅读英文文档；- 具备以下条件者优先：            熟练掌握一门Python Web开发框架（如Tornado、        Django、Flask等)；            拥有完整的项目开发经验或者参与过大容量，高性能复杂系统开发；            拥有服务器性能优化和系统重构经验；            熟练使用缓存系统，消息队列和Hadoop等基础技术；            熟悉Docker，K8S，微服务架构；            有独立分析和解决问题的能力，善于学习新技术。建议：简历请附上个人 GitHub 地址,工作地址北京 -                    海淀区 -                    清华大学                                            - 中科科仪大厦1号楼413                                                            查看地图
乐飞天下信息技术(北京)有限公司,https://www.lagou.com/gongsi/34214.html,乐飞天下,50-150人,未融资,朝阳区,python研发工程师,本科,应届毕业生,8k-12k,大数据；高并发；五险一金；技术培训；,"移动互联网,旅游","['旅游', '数据挖掘', '分布式', '服务器端']",2018-11-28 16:39:29,全职,后端开发,1号线_大望路;1号线_四惠;7号线_大郊亭;7号线_九龙山;14号线东段_大望路;14号线东段_九龙山,职位描述：岗位职责：1、开发自动化工具；2、涉及开发API接口共外部调用（高并发）3、持续优化项目、性能调优等4、参与项目需求分析、业务逻辑流程设计，技术文档编写5、后期会参与项目的技术评审、代码评审等任职要求：1.、熟悉Python语言、了解Django，Scrapy等框架；2、运用过Nginx、Mysql、Redis、Memcache等工具；3、了解Linux及Linux的基本命令操作；4、了解HTTP协议；8、自我学习能力强，分析解决问题能力强，极具主动精神及创业精神，善于沟通交流，有责任感，有团队协作精神，对新技术敏感；本岗位针对2018届应届生，因此我们需要你的简历是真实可靠，我们愿意花费时间与精力培养乐飞人！因此希望我们是在彼此信任的基础上建立劳动关系～,工作地址北京 -                    朝阳区 -                    大望路                                            - 北京市朝阳区通惠河北路21号 京津冀文化产业协同发展中心3层                                                            查看地图
轻易科技有限公司,https://www.lagou.com/gongsi/59902.html,轻易贷,2000人以上,上市公司,海淀区,Python开发工程师,本科,3-5年,15k-28k,"弹性工作制,扁平化管理,绩效奖金",金融,[],2018-12-03 10:18:29,全职,后端开发,,职位描述：职位要求：Python开发工程师（工作两年或以上，工作地北京）熟练使用Python标准库作为开发环境；熟练调用MySQL、Key-Value存储系统，能够进行系统性能调优；熟练处理Python Unicode、IO读写、调试、进程线程同步；有大规模高并发访问的后端应用开发或分布式开发经验者优先；如能提供你在开源网站上的作品，请务必注明URL；我们还希望你：有分析和发现系统的优化点，负责推动产品性能和架构优化，以及不断创新的能力；有很强的分析问题和解决问题的实践动手能力；热爱编程，对代码有处女座般完美癖好，强烈的责任心，视产品为自己的孩子；鼓励使用Linux和开源代码；,工作地址北京 -                    海淀区 -                    西北旺                                            - （西二旗中关村软件园）西北旺东路10号院东区7号楼                                                            查看地图
